Year,Agricultural_land_pct,GDP_USD,GDP_per_capita_USD,Under5_mortality,Population
1960,,4274894083.33333,82.4812774116354,263.6,51828660.0
1961,72.827840516248,4817580375.0,90.3685786294248,256.7,53310348.0
1962,72.8047937312745,5081413541.66667,92.5894211769315,250.2,54881146.0
1963,72.827840516248,5319458562.5,94.1423742967849,244.1,56504402.0
1964,73.1351309825613,5386054833.33333,92.5782977938389,238.7,58178374.0
1965,74.0339555965276,5906636791.66667,98.6041470420746,234.2,59902519.0
1966,74.1338249980794,6439687854.16667,104.42205467886,230.9,61669806.0
1967,74.4795267726819,7253575687.5,114.209881696109,228.5,63510929.0
1968,74.2797879695783,7483685770.83333,114.414967470375,227.2,65408276.0
1969,74.3258815395252,8471006437.5,125.880311698198,227.0,67294133.0
1970,74.4948912959975,8992722166.66667,130.218160844955,271.0,69058894.0
1971,74.4795267726819,8751843187.5,124.533963099152,367.0,70276758.0
1972,76.7534762234002,6288245866.66667,87.773765191476,228.8,71641519.0
1973,76.7381117000845,8086725729.3407,109.691726756912,229.1,73722294.0
1974,76.7381117000845,12512460519.7088,164.986393602814,275.7,75839348.0
1975,76.853345624952,19448348073.4565,249.804254016022,273.0,77854351.0
1976,76.807252055005,10117113333.3333,126.693044204437,224.9,79855318.0
1977,76.7534762234002,9651149301.8746,117.887771379224,221.5,81867264.0
1978,76.7227471767688,13281767142.8571,158.324255152285,217.2,83889655.0
1979,76.6920181301375,15565480321.9448,181.130706703135,212.4,85935072.0
1980,76.7227471767688,18138049095.6072,206.075714312155,207.2,88016432.0
1981,76.6766536068218,20249694002.448,224.241392391192,201.8,90303105.0
1982,76.6536068218484,18525399201.5968,199.595944646851,196.2,92814507.0
1983,76.5460551586387,17609048821.5488,184.70677287459,190.6,95335155.0
1984,77.2835522777906,18920840000.0,193.435020976238,184.7,97814966.0
1985,77.0300376430821,22278423076.9231,222.22018039634,178.6,100253825.0
1986,77.1375893062918,21774033333.3333,212.14899385306,172.3,102635572.0
1987,77.7060766689713,24298032258.0645,231.499584520483,165.8,104959291.0
1988,80.102942306215,26579005558.3652,247.901465967332,159.3,107216008.0
1989,80.2258584927403,28781715188.8919,263.005720827547,152.8,109433799.0
1990,79.7879695782438,31598340778.2164,283.053737055234,146.5,111633717.0
1991,79.2809403088269,30957483949.5798,272.064948495878,140.3,113787109.0
1992,73.3579165706384,31708874594.1645,273.465072520272,134.1,115952192.0
1993,72.5666436198817,33166519417.9894,280.757274450366,127.8,118132360.0
1994,71.8906045939925,33768660882.793,280.603031791216,121.6,120343179.0
1995,72.0135207805178,37939748768.6567,309.458680823367,115.5,122600370.0
1996,71.6524544825997,46438484107.5795,371.917937677345,109.4,124862179.0
1997,71.9443804255973,48244309133.4895,379.284917709635,103.3,127198069.0
1998,72.4744564799877,49984559471.3656,385.616881752796,97.1,129622332.0
1999,72.873934086195,51270569883.5275,388.095684268235,91.2,132108065.0
2000,72.2132595836214,53369787318.6245,396.670730249751,85.5,134544304.0
2001,72.2363063685949,53991289844.3291,394.65641001891,80.2,136805810.0
2002,71.8521932857033,54724081490.5102,393.886422327628,75.3,138933658.0
2003,71.6601367442575,60158929188.2556,426.74880754362,70.8,140970351.0
2004,71.6217254359684,65108544250.0425,455.614016909798,66.8,142902856.0
2005,71.5295382960744,69476001239.419,480.08585075452,63.0,144715786.0
2006,71.2913881846816,71795736172.1561,490.388026533289,59.6,146405973.0
2007,71.1838365214719,79611644974.5571,537.955492792911,56.5,147989278.0
2008,71.0839671199201,91636997370.9772,613.06204104124,53.6,149474264.0
2009,71.0301912883153,102475158190.998,679.211477428056,51.1,150873714.0
2010,70.9917799800261,115275540051.262,757.385280361508,48.7,152201981.0
2011,70.1236844126911,128607482310.357,837.336944695647,46.5,153591076.0
2012,70.0622263194284,133310747603.483,859.680536375497,44.4,155070101.0
2013,69.9700391795345,149998957434.186,958.262989798283,42.4,156532141.0
2014,69.900898824614,172886611653.786,1094.46199702838,40.5,157964929.0
2015,70.3867250518553,195146608978.131,1224.38647668165,38.5,159383179.0
2016,70.6323269570562,265224515675.034,1649.28380858601,36.7,160811932.0
2017,70.5794729968503,293732446624.596,1811.08221668646,35.0,162186147.0
2018,70.694476453868,321362752441.78,1965.24372731467,33.5,163523103.0
2019,72.1902127986479,351231654603.692,2129.79896954606,32.3,164913055.0
2020,72.4437274333564,373979442362.193,2248.85078828233,31.4,166298024.0
2021,72.3515402934624,416271647911.014,2482.84917843357,30.9,167658854.0
2022,72.3706433287272,460131689083.083,2716.48592780431,30.7,169384897.0
2023,72.311124788429,437415333018.291,2551.01773827307,30.6,171466990.0
