Year,BGD_Temp_C,BGD_Precip_mm_day,BGD_Humidity_pct,Annual_Anomaly_C,Agricultural_land_pct,GDP_USD,GDP_per_capita_USD,Under5_mortality,Population,Sea_Level_mm,CO2_emissions
1984,25.769166666666667,3.981666666666667,65.50833333333334,0.16,77.2835522777906,18920840000.0,193.435020976238,184.7,97814966.0,6.153543301,World
1985,26.33583333333333,3.0608333333333335,65.545,0.12,77.0300376430821,22278423076.9231,222.22018039634,178.6,100253825.0,5.74803149,World
1986,26.08666666666667,3.8208333333333333,67.2075,0.18,77.1375893062918,21774033333.3333,212.14899385306,172.3,102635572.0,5.771653537,World
1987,26.290833333333335,3.285,67.94833333333334,0.32,77.7060766689713,24298032258.0645,231.499584520483,165.8,104959291.0,5.795275585,World
1988,26.531666666666666,3.8316666666666666,67.465,0.39,80.102942306215,26579005558.3652,247.901465967332,159.3,107216008.0,5.980314955,World
1989,26.459999999999997,2.285,61.47083333333333,0.27,80.2258584927403,28781715188.8919,263.005720827547,152.8,109433799.0,6.157480309,World
1990,26.456666666666667,2.92,66.50750000000001,0.45,79.7879695782438,31598340778.2164,283.053737055234,146.5,111633717.0,6.24803149,World
1991,26.495833333333334,3.1558333333333333,66.45,0.41,79.2809403088269,30957483949.5798,272.064948495878,140.3,113787109.0,6.346456686,World
1992,26.69333333333333,1.9075,62.83916666666667,0.22,73.3579165706384,31708874594.1645,273.465072520272,134.1,115952192.0,6.374015742,World
1993,26.24083333333333,3.4975,66.875,0.23,72.5666436198817,33166519417.9894,280.757274450366,127.8,118132360.0,6.3031496,World
1994,26.765,2.2166666666666663,61.25666666666666,0.32,71.8906045939925,33768660882.793,280.603031791216,121.6,120343179.0,6.507874009,World
1995,26.426666666666666,3.169166666666667,65.57583333333334,0.45,72.0135207805178,37939748768.6567,309.458680823367,115.5,122600370.0,6.622047237,World
1996,26.4875,2.8325,64.83166666666666,0.33,71.6524544825997,46438484107.5795,371.917937677345,109.4,124862179.0,6.78346456,World
1997,25.641666666666666,4.3375,69.56416666666667,0.47,71.9443804255973,48244309133.4895,379.284917709635,103.3,127198069.0,7.059055111,World
1998,25.49083333333333,5.471666666666667,75.59916666666668,0.61,72.4744564799877,49984559471.3656,385.616881752796,97.1,129622332.0,6.669291332,World
1999,25.868333333333336,4.617500000000001,73.02833333333332,0.38,72.873934086195,51270569883.5275,388.095684268235,91.2,132108065.0,7.003937001,World
2000,25.14916666666667,5.072500000000001,75.78583333333334,0.39,72.2132595836214,53369787318.6245,396.670730249751,85.5,134544304.0,7.055118103,World
2001,25.36916666666667,5.221666666666667,73.85916666666667,0.53,72.2363063685949,53991289844.3291,394.65641001891,80.2,136805810.0,7.271653536,World
2002,25.508333333333336,5.075833333333333,74.575,0.63,71.8521932857033,54724081490.5102,393.886422327628,75.3,138933658.0,7.366141725,World
