Date,Temperature_C,Precipitation_mm_day,Humidity_pct
1984-01-01,18.73,0.13,46.25
1984-02-01,21.56,0.01,34.33
1984-03-01,27.81,0.01,38.19
1984-04-01,31.28,0.64,53.2
1984-05-01,29.27,9.83,74.21
1984-06-01,28.62,10.92,84.99
1984-07-01,28.12,7.41,85.86
1984-08-01,27.94,5.03,87.16
1984-09-01,27.06,10.51,84.79
1984-10-01,26.43,3.24,82.8
1984-11-01,22.56,0.0,62.96
1984-12-01,19.85,0.05,51.36
1985-01-01,20.21,0.19,49.74
1985-02-01,22.06,0.06,41.1
1985-03-01,27.96,1.19,59.47
1985-04-01,30.14,3.23,62.08
1985-05-01,30.35,4.05,64.56
1985-06-01,28.96,10.06,82.84
1985-07-01,27.89,5.65,85.43
1985-08-01,28.43,6.39,84.45
1985-09-01,27.75,3.79,83.97
1985-10-01,27.47,1.51,67.03
1985-11-01,23.72,0.39,55.26
1985-12-01,21.09,0.22,50.61
1986-01-01,19.42,0.08,48.5
1986-02-01,23.33,0.04,35.46
1986-03-01,28.32,0.3,39.59
1986-04-01,29.84,4.49,62.13
1986-05-01,30.56,1.99,60.29
1986-06-01,31.29,4.36,67.62
1986-07-01,28.42,9.47,84.14
1986-08-01,28.57,4.72,84.03
1986-09-01,27.16,11.58,87.34
1986-10-01,25.03,6.1,84.26
1986-11-01,22.16,2.65,79.83
1986-12-01,18.94,0.07,73.3
1987-01-01,18.49,0.01,57.18
1987-02-01,22.89,0.16,47.37
1987-03-01,26.91,1.23,54.04
1987-04-01,29.53,4.91,61.87
1987-05-01,29.77,3.09,68.73
1987-06-01,29.77,6.6,78.95
1987-07-01,28.85,9.85,85.27
1987-08-01,28.51,4.96,85.64
1987-09-01,28.04,5.89,86.59
1987-10-01,26.79,2.04,73.38
1987-11-01,24.37,0.36,62.68
1987-12-01,21.57,0.32,53.68
1988-01-01,20.73,0.0,41.76
1988-02-01,23.34,0.79,41.27
1988-03-01,27.2,1.57,48.02
1988-04-01,30.48,2.43,58.37
1988-05-01,29.98,8.38,71.56
1988-06-01,28.75,10.08,84.47
1988-07-01,28.37,6.6,88.28
1988-08-01,28.44,6.74,87.2
1988-09-01,28.14,4.54,87.17
1988-10-01,26.9,2.28,75.54
1988-11-01,24.64,1.79,64.34
1988-12-01,21.41,0.78,61.6
1989-01-01,17.94,0.01,43.84
1989-02-01,22.15,0.44,43.6
1989-03-01,27.03,0.08,39.62
1989-04-01,30.53,2.23,56.63
1989-05-01,31.02,3.08,64.34
1989-06-01,30.06,4.96,73.15
1989-07-01,29.58,5.71,77.38
1989-08-01,28.93,3.47,79.65
1989-09-01,29.16,4.16,78.07
1989-10-01,27.39,3.17,76.73
1989-11-01,23.74,0.0,55.97
1989-12-01,19.99,0.11,48.67
1990-01-01,20.3,0.0,46.03
1990-02-01,23.7,0.67,47.07
1990-03-01,26.53,2.0,51.71
1990-04-01,29.17,3.17,64.16
1990-05-01,30.97,2.84,62.35
1990-06-01,29.97,4.15,76.92
1990-07-01,28.66,8.23,84.36
1990-08-01,28.68,5.09,84.27
1990-09-01,27.89,4.99,86.06
1990-10-01,26.18,3.41,74.83
1990-11-01,24.57,0.45,66.45
1990-12-01,20.86,0.04,53.88
1991-01-01,19.35,0.07,48.15
1991-02-01,24.69,0.1,39.18
1991-03-01,29.59,0.28,41.02
1991-04-01,31.64,0.57,51.15
1991-05-01,30.16,5.83,71.38
1991-06-01,29.39,5.13,79.49
1991-07-01,29.58,3.52,79.14
1991-08-01,29.16,4.59,80.71
1991-09-01,27.75,9.19,87.78
1991-10-01,26.14,6.46,82.16
1991-11-01,21.56,0.5,70.94
1991-12-01,18.94,1.63,66.3
1992-01-01,18.2,0.01,59.69
1992-02-01,21.04,1.02,55.25
1992-03-01,27.34,0.05,53.78
1992-04-01,31.31,1.28,53.6
1992-05-01,31.01,2.81,60.4
1992-06-01,31.37,2.79,66.64
1992-07-01,29.13,6.12,79.92
1992-08-01,28.89,3.39,80.93
1992-09-01,28.85,3.89,77.62
1992-10-01,28.08,1.44,66.74
1992-11-01,24.87,0.08,52.49
1992-12-01,20.23,0.01,47.01
1993-01-01,19.8,0.06,41.49
1993-02-01,23.75,1.3,48.47
1993-03-01,26.41,1.11,45.54
1993-04-01,29.82,2.51,56.65
1993-05-01,28.87,9.85,76.34
1993-06-01,28.86,6.56,83.53
1993-07-01,28.56,9.36,87.04
1993-08-01,28.25,4.77,88.0
1993-09-01,27.52,4.54,87.02
1993-10-01,27.17,1.68,76.66
1993-11-01,24.35,0.23,62.46
1993-12-01,21.53,0.0,49.3
1994-01-01,20.45,0.32,43.9
1994-02-01,21.78,0.63,40.79
1994-03-01,27.9,2.04,50.07
1994-04-01,30.22,2.48,56.95
1994-05-01,31.3,3.03,64.21
1994-06-01,29.83,5.64,77.99
1994-07-01,28.64,3.52,84.35
1994-08-01,28.54,5.21,83.88
1994-09-01,28.53,1.84,77.09
1994-10-01,27.91,1.5,64.91
1994-11-01,25.37,0.39,51.12
1994-12-01,20.71,0.0,39.82
1995-01-01,19.18,0.11,35.05
1995-02-01,23.09,1.04,41.25
1995-03-01,27.93,0.25,37.25
1995-04-01,31.5,2.25,52.76
1995-05-01,31.1,3.54,65.37
1995-06-01,29.38,7.11,81.65
1995-07-01,28.61,5.17,86.01
1995-08-01,28.24,10.04,87.51
1995-09-01,27.46,4.04,90.19
1995-10-01,26.86,2.01,79.68
1995-11-01,23.52,2.45,74.08
1995-12-01,20.25,0.02,56.11
1996-01-01,19.49,0.08,50.44
1996-02-01,23.02,0.65,45.17
1996-03-01,28.39,1.51,51.93
1996-04-01,30.03,3.29,58.09
1996-05-01,30.68,4.36,68.09
1996-06-01,29.45,6.07,78.26
1996-07-01,28.9,4.97,84.23
1996-08-01,27.93,6.08,87.56
1996-09-01,28.65,2.67,81.29
1996-10-01,26.8,4.28,69.66
1996-11-01,24.14,0.02,56.25
1996-12-01,20.37,0.01,47.01
1997-01-01,19.03,0.22,42.43
1997-02-01,22.01,0.35,44.32
1997-03-01,28.22,1.47,45.68
1997-04-01,27.81,4.59,63.71
1997-05-01,30.34,4.54,66.3
1997-06-01,28.78,8.44,83.96
1997-07-01,28.16,15.9,91.33
1997-08-01,27.9,5.79,90.41
1997-09-01,27.1,9.14,89.47
1997-10-01,25.38,0.86,78.43
1997-11-01,23.9,0.32,71.0
1997-12-01,19.07,0.43,67.73
1998-01-01,17.91,0.91,58.74
1998-02-01,22.18,0.82,51.13
1998-03-01,25.12,3.32,48.75
1998-04-01,28.52,6.65,68.69
1998-05-01,29.28,10.34,78.53
1998-06-01,28.88,3.98,89.2
1998-07-01,28.38,14.77,90.82
1998-08-01,28.17,13.6,91.36
1998-09-01,27.97,4.72,88.17
1998-10-01,27.06,3.32,84.74
1998-11-01,23.6,3.23,80.58
1998-12-01,18.82,0.0,76.48
1999-01-01,17.97,0.0,61.85
1999-02-01,23.22,0.13,46.26
1999-03-01,27.69,0.03,42.59
1999-04-01,32.48,0.4,52.12
1999-05-01,29.58,9.49,75.03
1999-06-01,28.87,7.6,83.99
1999-07-01,28.0,13.39,90.76
1999-08-01,27.69,10.21,91.16
1999-09-01,27.18,8.44,90.82
1999-10-01,26.26,5.36,87.78
1999-11-01,21.87,0.15,81.02
1999-12-01,19.61,0.21,72.96
2000-01-01,18.43,0.34,62.3
2000-02-01,20.53,0.77,52.38
2000-03-01,25.72,2.49,55.76
2000-04-01,29.43,5.17,67.87
2000-05-01,28.5,13.23,81.63
2000-06-01,28.33,7.83,88.86
2000-07-01,28.21,6.48,88.81
2000-08-01,28.0,12.46,90.03
2000-09-01,27.15,5.34,89.54
2000-10-01,26.8,6.41,83.78
2000-11-01,22.55,0.35,77.54
2000-12-01,18.14,0.0,70.93
2001-01-01,16.59,0.0,58.99
2001-02-01,22.12,1.03,48.93
2001-03-01,26.87,0.64,45.12
2001-04-01,30.73,2.04,53.0
2001-05-01,28.66,11.43,81.65
2001-06-01,27.89,16.53,90.49
2001-07-01,27.95,10.05,90.73
2001-08-01,28.26,6.98,90.08
2001-09-01,27.89,5.91,86.83
2001-10-01,26.64,6.55,86.25
2001-11-01,22.99,1.14,80.26
2001-12-01,17.84,0.36,73.98
2002-01-01,18.6,0.46,64.62
2002-02-01,21.81,0.03,48.77
2002-03-01,27.01,2.28,48.98
2002-04-01,29.44,3.68,64.36
2002-05-01,29.78,7.27,75.51
2002-06-01,28.48,13.0,88.33
2002-07-01,28.44,14.26,90.81
2002-08-01,27.64,8.24,90.78
2002-09-01,27.32,5.85,88.36
2002-10-01,25.83,1.66,81.83
2002-11-01,22.73,4.04,79.16
2002-12-01,19.02,0.14,73.39
2003-01-01,16.47,0.61,64.65
2003-02-01,21.75,0.93,58.81
2003-03-01,25.28,3.54,57.51
2003-04-01,29.73,3.69,67.06
2003-05-01,30.72,3.98,67.07
2003-06-01,28.72,16.79,86.08
2003-07-01,28.39,6.08,89.62
2003-08-01,28.51,5.85,88.42
2003-09-01,27.8,6.17,88.8
2003-10-01,26.71,4.87,84.91
2003-11-01,21.89,0.08,78.04
2003-12-01,18.94,1.28,76.72
2004-01-01,17.92,0.07,68.05
2004-02-01,21.33,0.09,54.07
2004-03-01,27.49,0.41,53.19
2004-04-01,29.36,5.99,67.84
2004-05-01,30.74,3.82,68.07
2004-06-01,29.23,10.53,81.79
2004-07-01,27.98,11.09,89.51
2004-08-01,28.05,7.43,90.1
2004-09-01,27.21,22.25,90.42
2004-10-01,25.14,5.9,86.24
2004-11-01,21.55,0.01,79.18
2004-12-01,19.62,0.01,74.46
2005-01-01,17.84,0.2,69.75
2005-02-01,23.05,0.16,56.66
2005-03-01,27.65,4.28,58.89
2005-04-01,29.15,2.93,64.48
2005-05-01,29.66,6.07,73.14
2005-06-01,30.09,4.56,78.82
2005-07-01,28.35,12.28,88.37
2005-08-01,28.47,11.11,88.91
2005-09-01,27.89,10.01,88.38
2005-10-01,26.12,10.1,86.16
2005-11-01,21.42,0.13,82.53
2005-12-01,18.14,0.03,81.62
2006-01-01,17.23,0.0,70.55
2006-02-01,23.6,0.09,61.2
2006-03-01,27.64,0.05,46.18
2006-04-01,30.08,4.16,61.8
2006-05-01,29.96,9.71,71.92
2006-06-01,28.42,10.1,89.05
2006-07-01,28.36,8.62,89.52
2006-08-01,27.82,7.26,88.97
2006-09-01,27.62,13.55,88.31
2006-10-01,26.37,2.01,82.58
2006-11-01,22.44,0.12,76.92
2006-12-01,19.27,0.01,71.05
2007-01-01,17.52,0.0,59.6
2007-02-01,21.46,1.74,61.64
2007-03-01,25.87,0.24,45.78
2007-04-01,29.33,6.02,65.92
2007-05-01,29.49,6.39,74.33
2007-06-01,28.43,17.82,89.24
2007-07-01,28.09,22.41,91.0
2007-08-01,28.2,9.09,89.45
2007-09-01,27.45,7.61,89.8
2007-10-01,25.61,9.77,85.66
2007-11-01,22.55,2.59,84.22
2007-12-01,17.48,0.0,80.43
2008-01-01,17.49,1.05,73.97
2008-02-01,19.23,0.63,62.7
2008-03-01,26.8,0.96,60.78
2008-04-01,30.07,1.61,56.5
2008-05-01,30.73,5.18,66.26
2008-06-01,28.46,9.67,85.24
2008-07-01,28.16,10.24,89.37
2008-08-01,27.89,9.12,89.88
2008-09-01,27.51,5.95,88.92
2008-10-01,26.02,7.26,85.06
2008-11-01,22.43,0.01,78.28
2008-12-01,20.35,0.68,76.45
2009-01-01,19.5,0.0,68.07
2009-02-01,22.1,0.72,54.27
2009-03-01,27.22,1.12,48.28
2009-04-01,30.58,1.57,61.01
2009-05-01,29.86,7.92,73.19
2009-06-01,29.02,8.86,85.44
2009-07-01,28.53,15.86,88.77
2009-08-01,28.34,13.71,88.87
2009-09-01,27.75,7.07,89.2
2009-10-01,25.68,4.42,85.58
2009-11-01,22.7,0.87,80.32
2009-12-01,18.53,0.04,75.24
